Timestamp;unix data;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
03.03.2017;1488499200;1256.32;1298;1255;1285.33;7545.48;9615648.42;1274.36
04.03.2017;1488585600;1287.38;1289.55;1230;1260;4951.23;6237601.9;1259.81
05.03.2017;1488672000;1260;1275;1240;1273;3026.02;3809526.44;1258.92
06.03.2017;1488758400;1269.98;1285;1251;1278.49;4249.65;5420772.93;1275.58
07.03.2017;1488844800;1278.49;1281.62;1175.97;1233.05;14450.04;17887749.61;1237.9
08.03.2017;1488931200;1233.86;1245.49;1145.5;1150.05;13399.44;15905595.45;1187.03
09.03.2017;1489017600;1149.34;1208;1135.01;1190.89;7654.74;9019820.32;1178.33
10.03.2017;1489104000;1190.99;1350;975;1116.97;33467.94;38830456.29;1160.23
11.03.2017;1489190400;1111.55;1198;1106.51;1176.55;7346.79;8529224.3;1160.95
12.03.2017;1489276800;1176.58;1241.85;1170.9;1226.62;5793.91;7003314.41;1208.74
13.03.2017;1489363200;1226.42;1249.02;1215.43;1242.46;5637.36;6963555.14;1235.25
14.03.2017;1489449600;1242.46;1260;1226.5;1245.86;5745.5;7156458.55;1245.58
15.03.2017;1489536000;1245.82;1260;1238.32;1257.32;3930.5;4920843.36;1251.96
16.03.2017;1489622400;1258.75;1258.96;1130;1172.62;15246.55;18265147.56;1197.99
17.03.2017;1489708800;1172;1173.23;1063;1071.02;16704.57;18711161.79;1120.12
18.03.2017;1489795200;1068.16;1099;944.36;969.4;21292.6;21545879.41;1011.89
19.03.2017;1489881600;969.4;1063.7;969.4;1017.97;12201.86;12333561.01;1010.79
20.03.2017;1489968000;1012.88;1053;1010.01;1035.96;7497.91;7764665.81;1035.58
21.03.2017;1490054400;1036.23;1117.9;1034.92;1114.39;11125.5;12068049.72;1084.72
22.03.2017;1490140800;1114.39;1114.39;988;1037.56;14521.26;15061002.63;1037.17
23.03.2017;1490227200;1037.6;1054.4;1010.69;1029.65;5917;6134595.75;1036.78
24.03.2017;1490313600;1030.84;1032;920;929.06;16072.42;15697051.68;976.65
25.03.2017;1490400000;928.1;963.36;891.33;956.02;13507.44;12469646.95;923.17
26.03.2017;1490486400;956.02;997;937.52;960;9012.92;8743359.97;970.09
27.03.2017;1490572800;959.08;1043;952.95;1039.92;8687.09;8753826.09;1007.68
28.03.2017;1490659200;1039.09;1068.26;1014.9;1043.99;9115.52;9538479.55;1046.4
29.03.2017;1490745600;1042.83;1059.43;1008.16;1035.96;9379.72;9675900.4;1031.58
30.03.2017;1490832000;1037.29;1050.17;1017.14;1033.7;8645.38;8919386.18;1031.69
31.03.2017;1490918400;1033.79;1081;1031.43;1070.31;12058.79;12711331.62;1054.11
01.04.2017;1491004800;1071.34;1097;1061.64;1083.94;5209.13;5617315.77;1078.36
02.04.2017;1491091200;1083.95;1100;1066.49;1078.01;7639.9;8274688.32;1083.09
03.04.2017;1491177600;1076.59;1152;1076.19;1144.77;11076.86;12487637.63;1127.36
04.04.2017;1491264000;1146.42;1162.93;1118.85;1143;7420.87;8471842.7;1141.62
05.04.2017;1491350400;1143;1145;1111;1134.58;5588.98;6299621.45;1127.15
06.04.2017;1491436800;1134.86;1201.37;1134.36;1190.85;9134.3;10690571.43;1170.38
07.04.2017;1491523200;1190.72;1202;1176;1190.66;5450.27;6486716.5;1190.16
08.04.2017;1491609600;1190.66;1197.3;1166.66;1184.03;2720.8;3224244.36;1185.04
09.04.2017;1491696000;1184.05;1216.87;1173.98;1206.2;4817.42;5764973.91;1196.69
10.04.2017;1491782400;1205.2;1219.71;1195;1209.25;3656.82;4416613.87;1207.78
11.04.2017;1491868800;1209.99;1229;1198.02;1218.99;3487.75;4229830.76;1212.77
12.04.2017;1491955200;1218.99;1224.57;1208;1212.17;3475.19;4224875.8;1215.72
13.04.2017;1492041600;1212.16;1219.45;1141;1172.91;7135.3;8410788.79;1178.76
14.04.2017;1492128000;1172.56;1193;1142;1170.34;8982.77;10475652.88;1166.19
15.04.2017;1492214400;1169.53;1192.5;1165;1173.45;1804.45;2128067.82;1179.34
16.04.2017;1492300800;1171;1179.3;1150;1162.31;2663.99;3094769.46;1161.7
17.04.2017;1492387200;1162.31;1192.5;1161;1176.54;3568.83;4210491.81;1179.8
18.04.2017;1492473600;1176.59;1210;1175.95;1202.58;5514.18;6636782.79;1203.58
19.04.2017;1492560000;1202.59;1209.99;1190;1203.98;6046.52;7247878.76;1198.69
20.04.2017;1492646400;1203.98;1243.88;1201.66;1234.19;5972.94;7302307.33;1222.57
21.04.2017;1492732800;1234.93;1252.32;1231.65;1243.61;5023.04;6236859.58;1241.65
22.04.2017;1492819200;1243.6;1247.15;1199;1233.2;4173.28;5126960.21;1228.52
23.04.2017;1492905600;1231.85;1248.99;1223.42;1241.99;2604.72;3219987.14;1236.21
24.04.2017;1492992000;1242;1254;1234;1253.58;3048.69;3788507.32;1242.67
25.04.2017;1493078400;1253.57;1280;1251.07;1269;5249.77;6651231.27;1266.96
26.04.2017;1493164800;1271.4;1330;1265;1287.99;8707.64;11266221.16;1293.83
27.04.2017;1493251200;1287.92;1342.02;1285;1331.53;6669.99;8810060.91;1320.85
28.04.2017;1493337600;1331;1347.02;1299;1330.7;8234.28;10882526.4;1321.61
29.04.2017;1493424000;1333.93;1342.8;1316;1333;3927.45;5226089.45;1330.66
30.04.2017;1493510400;1336.77;1356;1315.68;1350.21;3536.18;4718587.81;1334.38
01.05.2017;1493596800;1348.88;1425;1341.22;1390.86;8604.41;11923132.22;1385.7
02.05.2017;1493683200;1390.86;1481.73;1388;1447.75;8920.69;12836209.77;1438.93
03.05.2017;1493769600;1447.75;1516.04;1431.02;1503.22;11077.59;16380266.84;1478.69
04.05.2017;1493856000;1503.25;1623.01;1444.94;1537.23;19548.53;30115422.58;1540.55
05.05.2017;1493942400;1537.36;1609;1495;1514.9;15603.68;24257672.5;1554.61
06.05.2017;1494028800;1515.39;1578.97;1505;1558.02;7901.14;12179087.26;1541.43
07.05.2017;1494115200;1554.04;1565;1525;1554.01;7667.79;11809645.33;1540.16
08.05.2017;1494201600;1554.38;1653.97;1554.38;1649.54;19262.35;30652223.06;1591.3
09.05.2017;1494288000;1649.55;1760.4;1616.05;1720.28;16807.73;28741490.64;1710.02
10.05.2017;1494374400;1720.26;1794.21;1682;1772.58;11265.38;19697560.66;1748.5
11.05.2017;1494460800;1774.52;1892;1745.01;1828.45;14740.22;26997283.11;1831.54
12.05.2017;1494547200;1830.85;1832;1650;1691.51;17062.84;29856372.54;1749.79
13.05.2017;1494633600;1690.33;1785.82;1601.46;1776.89;10532.23;17797259.46;1689.79
14.05.2017;1494720000;1776.8;1815;1753;1784;4816.73;8585557.39;1782.44
15.05.2017;1494806400;1782.3;1784;1682.56;1705.48;13316.8;22951575.79;1723.51
16.05.2017;1494892800;1706.07;1750;1641.22;1700.01;16554.09;28255380.02;1706.85
17.05.2017;1494979200;1700.01;1840.42;1670.01;1782.99;17797.32;31598676.87;1775.47
18.05.2017;1495065600;1779;1881.8;1766.33;1878.99;11916.12;21766168.13;1826.61
19.05.2017;1495152000;1879;1969.99;1874.99;1958;14124.62;27218796.92;1927.05
20.05.2017;1495238400;1959.09;2021;1914;2013.99;12309.95;24248476.49;1969.83
21.05.2017;1495324800;2013.99;2063.11;1961.52;2017.55;6755.83;13647083.74;2020.04
22.05.2017;1495411200;2017.55;2230.34;2001;2099.97;16338.54;34535101.53;2113.72
23.05.2017;1495497600;2088.76;2275;2088.45;2264.23;14138.92;31139771.52;2202.42
